Titre	Titre	Couplet avant le 1er refrain	Refrain	Couplets 1 si après le R/	Couplets 2	Couplet 3	Couplets 4+	Intro instrumentale	Intro Paul
Criez de joie, Christ est ressuscité	Criez de joie, Christ est ressuscité		R/ Criez de joie, Christ est ressuscité ! Il est vivant comme il l´avait promis. Alléluia, Christ est ressuscité ! Il nous ouvre la vie !	1. Au milieu de notre nuit, La lumière a resplendi. La Vie a détruit la mort, Christ ressuscité !	2. Vous les anges, louez-le, Exultez depuis les cieux ! Tous les vivants louez Dieu ! Christ ressuscité !	3. Louez Dieu dans sa grandeur, Louez Dieu notre Sauveur ! Sans fin louez le Seigneur ! Christ ressuscité !			
Danse de joie, cité de paix			R/ REJOUIS-TOI, DANSE DE JOIE, JERUSALEM, CITE DE PAIX ! REJOUIS-TOI, DANSE DE JOIE : TON DIEU VIENT DEMEURER CHEZ TOI !	1. Ecoute la voix des guetteurs sur tes murs, ô Jérusalem ! Ils crient de joie quand se lève l'aurore pour éveiller les habitants de la cité :	2. Ecoute le cri de la Bonne Nouvelle, ô Jérusalem ! Les messagers qui s'avancent vers toi vont annoncer la paix de Dieu qui vient sur toi :	3. Ecoute ce chant de douceur dans ton coeur, ô Jérusalem ! Oui, c'est ton Dieu qui prend chair dans ta chair pour consoler dans son amour tous tes enfants.	4. Ecoute l'appel du veilleur dans la nuit, ô Jérusalem ! C'est de ses yeux qu'il a vu le Seigneur, car Dieu revient dans la cité de son bonheur !  5. Ecoute les pleurs d'un enfant innocent, ô Jérusalem ! C'est dans sa chair que Dieu vient te sauver, renouvelant pour toi l'amour des premiers jours.  6. Ecoute le chant de l'Epoux qui approche, ô Jérusalem ! C'est dans sa chair que Dieu vient t'épouser pour ce bonheur où tu vivras ressuscitée.		
Demeurez en mon amour	Demeurez en mon amour		R/ Demeurez en mon amour comme je demeure en vous, Ainsi tous reconnaîtront que vous êtes mes amis.	1. Prenez et mangez, c’est mon corps livré pour vous. Prenez et buvez, c’est mon sang versé pour vous.	2. Si quelqu’un a soif, qu’il vienne à moi et qu’il boive. Qui croira en moi, de son sein l’eau jaillira.	3. La gloire de mon Père, c’est que vous portiez du fruit. Ayez foi en moi, demandez, vous recevrez.	4. Dieu m’a envoyé, moi aussi je vous envoie. Recevez l’Esprit et proclamez le Salut.  5. Soyez mes témoins, je vous ferai pécheurs d’hommes. Je suis avec vous pour toujours, n’ayez pas peur.		
Devenez ce que vous recevez	Devenez ce que vous recevez		R/Devenez ce que vous recevez						
 Devenez le corps du Christ									
 Devenez ce que vous recevez									
 Vous êtes le corps du Christ									
 Nous ne formons tous qu'un seul corps									
 Abreuvés de l'unique esprit									
 Nous n'avons qu'un seul Dieu et père									
 Nous n'avons qu'un cœur et qu'une âme									
 Fortifiés par l'amour du Christ									
 Nous pouvons aimer comme il aime									
 Et réconciliés avec Dieu									
 Sanctifiés par la vie du Christ									
 Nous goûtons la joie du royaume									
 Nous formons un peuple nouveau									
 Bienheureux sont les invités									
 Au festin des noces éternelles									
Dieu fidèle, Dieu de l'alliance	Dieu fidèle, Dieu de l'alliance		R/ Dieu Fidèle, Dieu de l'alliance en Jésus-Christ Tu es Dieu libérateur sur nos chemins de peine et d'espérance, en Jésus-Christ tu es sauveur.	1. Depuis le désert au séjour de l'épreuve, Tu es Dieu libérateur. Dans tous les déserts où tu relèves ton peuple, Tu es Dieu sauveur.	2. Quand sur le Tabor resplendit ta lumière, Tu es Dieu libérateur. Quand renait l'espoir dans la nuit de nos misères, Tu es Dieu sauveur.	3. Quand de ta maison monte un cri de colère, Tu es Dieu libérateur. Lorsque dans nos vies tu habites nos prières, Tu es Dieu sauveur.	4. Depuis cette croix par-delà nos errances, Tu es Dieu libérateur. Lorsque nos regards s'illuminent en ta présence, Tu es Dieu sauveur. 5. Quand parait le jour où ton coeur se révèle, Tu es Dieu libérateur. Comme un grain de blé que l'on jette dans la terre, Tu es Dieu sauveur.		
Dieu notre Père, voici le pain	Dieu notre Père, voici le pain			Dieu notre Père, voici le pain. Dieu notre Père, voici le vin.  Pour ces offrandes, fruits de la terre, béni sois-tu, Dieu créateur.  Sur cet autel, voici nos vies, vin du Royaume, pain de la vie.  Ostinato / Qu’ils soient pour nous eucharistie					
Dieu nous a tous appelé									
Dieu nous accueille en sa maison	Dieu nous accueille en sa maison		R/ Dieu nous accueille en sa maison, Dieu nous invite à son festin : Jour d'allégresse et jour de joie ! Alléluia !	1. Oh, quelle joie quand on m'a dit : approchons-nous de sa maison Dans la cité du Dieu vivant !	2. Jérusalem, réjouis-toi, car le Seigneur est avec toi : Pour ton bonheur, il t’a choisie !	3.Criez de joie pour notre Dieu, chantez pour lui, car il est bon, car éternel est son amour !	4. Avec Jésus, nous étions morts ; avec Jésus, nous revivons, Nous avons part à sa clarté.  5. Approchons-nous de ce repas où Dieu convie tous ses enfants, Mangeons le Pain qui donne vie.  6. « Si tu savais le Don de Dieu », si tu croyais en son amour, Tu n’aurais plus de peur en toi.  7. Que Jésus-Christ nous garde tous dans l’unité d’un même Corps, Nous qui mangeons le même Pain.  8. Soyons témoins de son Esprit ! Que disparaisse toute peur ! Montrons au monde notre foi !		
Dieu règne	Dieu règne	1. Dieu règne! Peuples criez d’allégresse, Alléluia La vie a vaincu la mort, la croix a vaincu l’enfer !	R/ ALLÉLUIA! ALLÉLUIA! ALLÉLUIA! CHRIST LOUANGE À TOI !		4. C’est la merveille que le Seigneur fit pour nous, Béni soit son nom! Alléluia ! Christ Jésus, amour suprême du monde !		2. Voici le jour du Seigneur, jour de joie, Alléluia La vie a vaincu la mort, la croix a vaincu l’enfer !  3. Que cette pierre, que méprisait l’ennemi, Devienne aujourd’hui, Alléluia ! Christ Jésus, amour suprême du monde !  4. C’est la merveille que le Seigneur fit pour nous, Béni soit son nom! Alléluia ! Christ Jésus, amour suprême du monde !  5. Toi qui nourris de ta chair Tous ceux que tu as rachetés, Alléluia ! Qui enrichis nos lèvres de ton sang vermeil !  6. Accordes nous, ô Seigneur, Les joies d’une Pâque éternelle, Alléluia ! Qui enrichis nos lèvres de ton sang vermeil !		
Dona Nobis Pacem dit de Mozart	Dona Nobis Pacem								
Douce nuit	Douce nuit			1. Douce nuit, sainte nuit ! Dans les cieux, l’astre luit. Le mystère annoncé s’accomplit. Cet enfant sur la paille endormi, C’est l’amour infini ! (bis)	2- C’est vers nous qu’il accourt, en un don sans retour, De ce monde ignorant de l’amour où commence aujourd’hui son séjour, Qu’il soit Roi pour toujours ! (bis)	3. Paix à tous ! Gloire au ciel ! Gloire au sein maternel, Qui pour nous en ce jour de Noël, enfanta le Sauveur éternel Qu’attendait Israël ! (bis)			
Ecoute	Ecoute			1. Ecoute, Entends la voix de Dieu A celui qui a soif, Il vient se révéler Ecoute, Que tout en toi se taise, Que tout en toi s’apaise Et que parle ton Dieu.	2. Ecoute, Laisse là ton souci Que se taisent les mots Que s’éloignent les cris Ecoute Dieu sème sans compter Sa parole est le pain Qui vient nous rassasier  4. Ecoute Dieu passe près de toi Dans la brise légère Dans le vent de l’Esprit Ecoute Tu es aimé de Dieu Tu es choisi de Dieu Il veut pour toi la Vie	3. Ecoute Dieu t'invite au désert Au silence du coeur A la source sans fin Ecoute Il se tient à la porte Il frappe et bienheureux Celui qui ouvrira			
Écoute la voix du Seigneur	Écoute la voix du Seigneur		R/ TOI QUI AIMES LA VIE, O TOI QUI VEUX LE BONHEUR, REPONDS EN FIDELE OUVRIER DE SA TRES DOUCE VOLONTE. REPONDS EN FIDELE OUVRIER DE L’EVANGILE ET DE SA PAIX.	1. Ecoute la voix du Seigneur, Prête l’oreille de ton coeur. Qui que tu sois Ton Dieu t’appelle, qui que tu sois, Il est ton Père.	2. Ecoute la voix du Seigneur, Prête l’oreille de ton coeur. Tu entendras Que Dieu fait grâce, Tu entendras L'Esprit d’audace.	3. Ecoute la voix du Seigneur, Prête l’oreille de ton coeur. Tu entendras Crier les pauvres, Tu entendras Gémir ce monde.	4. Ecoute la voix du Seigneur, Prête l’oreille de ton coeur. Tu entendras Grandir l’Eglise, Tu entendras Sa paix promise. 5. Ecoute la voix du Seigneur, Prête l’oreille de ton coeur. Qui que tu sois, Fais-toi violence, Qui que tu sois, Rejoins ton frère.		
En marchant vers toi Seigneur	En marchant vers Toi, Seigneur		R/ En marchant vers toi, Seigneur, Notre coeur est plein de joie : Ta lumière nous conduit vers le Père Dans l'Esprit, au royaume de la vie.	1. Par ce pain que nous mangeons Pain des pauvres, pain des forts Tu restaures notre corps Tu apaises notre faim Jusqu'au jour de ton retour. R/	2. Par ce pain que nous mangeons Pain des anges, pain du ciel Tu nourris nos corps mortels Tu nous ouvres le banquet Qui n'aura jamais de fin. R/	3. Par ce pain que nous mangeons Pain unique, pain rompu Tu rassembles les croyants Peuple saint de baptisés Appelés à l'unité. R/	4. Par ce vin que nous buvons Joie de l'homme, joie de Dieu Ton alliance est révélée. Au royaume des vivants Nous boirons le vin nouveau ! 5. Par ce vin que nous buvons Source vive de l'amour, Nous restons en communion Avec Dieu vivant et vrai Père, Fils et Saint-Esprit. R/		
Esprit de Lumière - Communauté de l'Emmanuel	Esprit de lumière, Esprit créateur	1. Viens, Esprit du Dieu vivant, Renouvelle tes enfants, Viens, Esprit Saint, nous brûler de ton feu ! Dans nos cœurs, répands tes dons, Sur nos lèvres, inspire un chant, Viens, Esprit Saint, viens transformer nos vies !	R/ Esprit de lumière, Esprit créateur, Restaure en nous la joie, le feu, l’espérance. Affermis nos âmes, ranime nos cœurs, Pour témoigner de ton amour immense.		2. Fortifie nos corps blessés, Lave-nous de tout péché, Viens, Esprit Saint, nous brûler de ton feu ! Fais-nous rechercher la paix, Désirer la sainteté, Viens, Esprit Saint, viens transformer nos vies !	Pont : Veni Sancte Spiritus Veni Sancte Spiritus (bis)  3. Donne-nous la charité Pour aimer en vérité, Viens, Esprit Saint, nous brûler de ton feu ! Nous accueillons ta clarté Pour grandir en liberté, Viens, Esprit Saint, viens transformer nos vies !			
Esprit de Pentecôte, souffle de Dieu	Esprit de pentecôte, souffle de Dieu		R/ Esprit de Pentecôte, Souffle de Dieu, Vois ton Église aujourd'hui rassemblée, Esprit de Pentecôte, Souffle d´amour, Emporte-nous dans ton élan, Emporte-nous dans ton élan.	1. Peuple de Dieu nourri de sa Parole, Peuple de Dieu vivant de l'Évangile, Peuple de Dieu se partageant le pain, Peuple de Dieu devenu Corps du Christ.	2. Peuple de Dieu aux écoutes du monde, Peuple de Dieu partageant ses combats Peuple de Dieu solidaire des hommes, Peuple de Dieu assoiffé de justice.	3. Peuple de Dieu engagé dans l´histoire, Peuple de Dieu témoin de son Royaume, Peuple de Dieu portant l´espoir des hommes, Peuple de Dieu bâtissant l´avenir.			
Exultet Qu’éclate dans le ciel									
Exultet Qu’éclate dans le ciel - Nous te louons, splendeur du Père, Jésus, Fils de Dieu !									
Fais paraître ton jour	Fais paraître ton jour	1. Par la croix du Fils de Dieu, Signe levé qui rassemble les nations, Par le corps de Jésus Christ dans nos prisons, Innocent et torturé, Sur les terres désolées, terres d´exil, Sans printemps, sans amandier.	R/ Fais paraître ton Jour, et le temps de ta grâce, Fais paraître ton Jour : que l'homme soit sauvé !		2. Par la croix du Bien-Aimé, Fleuve de paix où s´abreuve toute vie, Par le corps de Jésus Christ, hurlant nos peurs Dans la nuit des hôpitaux, Sur le monde que tu fis, pour qu'il soit beau, Et nous parle de ton nom.	3. Par la croix du Serviteur, Porche royal où s'avancent les pécheurs, Par le corps de Jésus Christ, nu, outragé, Sous le rire des bourreaux, Sur les foules sans berger et sans espoir Qui ne vont qu'à perdre coeur.	4. Par la croix de l'Homme-Dieu, arbre béni Où s´abritent les oiseaux, Par le corps de Jésus Christ Recrucifié dans nos guerres sans pardon, Sur les peuples de la nuit et du brouillard Que la haine a décimés.  5. Par la croix du vrai pasteur, Alléluia, où l'enfer est désarmé, Par le corps de Jésus Christ, Alléluia, qui appelle avec nos voix, Sur l'Église de ce temps, Alléluia, que l'Esprit vient purifier.  6. Par la croix du Premier-Né, Alléluia, le gibet qui tue la mort, Par le corps de Jésus Christ, Alléluia, la vraie chair de notre chair, Sur la pierre des tombeaux, Alléluia, sur nos tombes à venir.		
Fiez vous en lui	Fiez vous en lui		R/ Fiez vous en lui, ne craignez pas, la paix de Dieu gardera vos coeurs, fiez vous en lui, Alléluia, Alleluia						
Gloire à Dieu dans le ciel, grande paix sur la terre	Gloire à Dieu dans le ciel		R/ GLOIRE A DIEU DANS LE CIEL ! GRANDE PAIX SUR LA TERRE ! GLOIRE A DIEU DANS LE CIEL ! GRANDE PAIX SUR LA TERRE !	1. Nous te louons, nous te bénissons, nous t’adorons, Nous te glorifions, nous te rendons grâce pour ton immense gloire !	2. Seigneur Dieu, le Roi du ciel, le Père tout-puissant ! Seigneur Dieu, Agneau de Dieu, le Fils du Père !	3. Le seul Saint, le seul Seigneur, le seul Très Haut ! Jésus-Chrsit, avec l'esprit, dans la gloire du Père !			
Gloire à toi, ô Dieu	Gloire à toi, ô Dieu	1. Père des Cieux, Père infiniment bon, Tu combles tes enfants de tes dons. Tu nous as faits, et nous t’offrons nos cœurs, Nous te bénissons, nous croyons en toi, Seigneur !	R/ Gloire à toi, ô Dieu, notre Père, Gloire à toi, Jésus-Christ venu nous sauver. Gloire à toi, Esprit de lumière, Trinité Bienheureuse, honneur et gloire à toi !		2. Jésus Sauveur, et Fils du Dieu vivant, Que s’élève vers toi notre chant. Ton cœur ouvert nous donne à contempler L’amour infini dont le Père nous a aimés.	3. Esprit de Dieu, Esprit de sainteté, Tu nous conduis à la vérité. Descends sur nous éclairer nos chemins, Sois le maître en nous, et fais de nous des témoins.			
Glorious - Alléluia hé	Alléluia hé		R/ Alléluia hé Alléluia hé hé hé Alléluia hé Alléluia hé hé hé	Louons le seigneur allélu alléluia alléluia hé hé hé hé hé Louons le seigneur allélu alléluia alléluia hé hé hé hé hé					
Glorious - Ave Maria	Ave Maria	Je te salue Marie comblée de grâce Le Seigneur est avec toi Tu es bénie Marie entre toutes les femmes Et Jésus, le fruit de tes entrailles est béni  Sainte Marie, Mère de Dieu Oh prie pour nous, pauvres pécheurs Dès maintenant et jusqu’à l’heure De notre mort AMEN  Ave Maria (x9)							Je te salue Marie; 2, 1,
Glorious - je t'offrirai	Je t'offrirai	1. Je t'offrirai le plus beau des parfums							
 Ma louange et mon coeur entre tes mains									
 Je marcherai dans ta fidélité									
 Mon coeur est prêt, mon Dieu, mon coeur est prêt									
 Ta grâce et ton amour me guideront									
 Je te suivrai malgré l'obscurité									
 Mon coeur est prêt, mon Dieu, mon coeur est prêt									
Glorious - Notre Père									
Glorious - Viens Esprit Saint - Séquence de Pentecôte	Viens Esprit Saint		R/ Viens, Esprit Saint, en nos coeurs, Et envoie du haut du ciel, un rayon de Ta lumière. (bis)						
Goutez et voyez	Goûtez et voyez, comme est bon le Seigneur		R/ Goûtez et voyez comme est bon le Seigneur, La table vous est servie, recevez le pain de vie	1. Le Seigneur est tendresse et pardon, Que vos coeurs et vos chants le célèbrent ! Bénissez le Seigneur en tout temps, Sa louange sans cesse à vos lèvres.	2. Tressaillez ! Le Seigneur vous attend, Il entend ses enfants qui l’appellent. Suppliez le Seigneur en tout temps, Rien ne manque à tous ceux qui le cherchent.	3. Au désert, il vous ouvre un torrent, Il envoie sa Parole sur terre. Écoutez le Seigneur en tout temps, La fraîcheur de son puits désaltère.	4. Exaltez tous ensemble son Nom, Tous ensemble chantons ses merveilles. Proclamez le Seigneur en tout temps, Sa Parole au matin vous réveille. 5. Il vous donne la fleur du froment, Il vous offre le pain de lumière. Recevez le Seigneur en tout temps, Et la paix gagnera les frontières. 6. Accueillez le Soleil des vivants, Jésus-Christ vous revêt de sa gloire. Rayonnez le Seigneur en tout temps, Sa clarté transfigure l’histoire.		
Heureux celui	Heureux celui	1. Heureux celui que le maître, en arrivant, Trouvera debout, éveillé et vigilant !	R/ Demeurez prêts, Veillez et priez Jusqu'au jour de Dieu.		2. Heureux celui que l'époux, en pleine nuit, Trouvera muni d'une lampe bien remplie !	3. Heureux celui que le roi, dès son entrée, Trouvera vêtu de la robe d'invité !	4. Heureux celui que le père, à la moisson, Trouvera chargé au centuple de ses dons ! 5. Heureux celui que le Christ, à son retour, Trouvera joyeux au service de l'Amour !		
Hosanna, béni soit celui qui vient. Chant de l’Emmanuel	Hosanna, béni soit celui qui vient		R Hosanna, hosanna, Béni soit celui qui vient nous sauver. Hosanna, hosanna, Béni soit ton Nom, Ô Roi des nations.  Soliste : 1. Maître de tout, à toi la richesse, À toi, ô Seigneur, les peuples et la terre. Tu l´as fondée sur les océans, Inébranlable, Ô Dieu, tu la gardes.  2. Qui gravira ta sainte montagne ? Qui pourra tenir, Seigneur, devant toi ? Devant ta face, il jubilera L´homme au cœur pur, aux mains innocentes.  3. Vois tes enfants, regarde ton peuple, Tous ceux qui te cherchent, sont devant toi. Ils obtiendront la bénédiction Et la justice en ton nom, Dieu Sauveur.  4. Élevez-vous, portes éternelles, Levez vos frontons, portes du ciel ! C´est le Seigneur, le Fort, le Vaillant, Qu´il entre aujourd´hui le Roi de Gloire !  5. C´est le Seigneur, Dieu de l´univers ! Voici le Seigneur, Maître de tout. Élevez-vous, portes éternelles, Qu´il entre aujourd´hui le Roi de Gloire !						
Humblement, dans le silence	Humblement dans le silence		R/ Humblement, dans le silence de mon cœur, je me donne à toi, mon Seigneur.	1. Par ton amour, fais-moi demeurer humble et petit devant toi.	2. Enseigne-moi ta sagesse, Ô Dieu, viens habiter mon silence.	3. Entre tes mains, je remets ma vie, ma volonté, tout mon être.	4. Je porte en moi ce besoin d’amour, de me donner, de me livrer, sans retour. 5. Vierge Marie, garde mon chemin dans l’abandon, la confiance de l’amour.		
Humblement, nous venons à toi 	Humblement, nous venons à toi 		R/ Humblement, nous venons à toi,						
 Nous t’offrons nos vies.									
 Que nos cœurs s’unissent à ta croix.									
 Par ce don, tu nous guéris.									
 Ce pain, ce vin.									
 Transforme-les, Dieu d’amour,									
 Pour que nous vivions.									
 Pauvres et petits.									
 Transforme-nous, Dieu d’amour,									
 Pour que nous vivions.									
Il est né le divin enfant	Il est né le divin enfant		R/ IL EST NÉ, LE DIVIN ENFANT, JOUEZ HAUTBOIS ; RÉSONNEZ MUSETTES ! IL EST NÉ, LE DIVIN ENFANT, CHANTONS TOUS SON AVÈNEMENT.	1. Depuis plus de quatre mille ans, Nous le promettaient les prophètes Depuis plus de quatre mille ans, Nous attendions cet heureux temps.	2. Le Sauveur que le monde attend Pour tout homme est la vraie lumière, Le Sauveur que le monde attend Est clarté pour tous les vivants.	3.  Une étable est son logement Un peu de paille est sa couchette, Une étable est son logement Pour un dieu quel abaissement !	4. Partez, grands rois de l'Orient ! Venez vous unir à nos fêtes Partez, grands rois de l'Orient ! Venez adorer cet enfant !  5. Il veut nos cœurs, il les attend : Il est là pour faire leur conquête Il veut nos cœurs, il les attend : Donnons-les lui donc promptement !  6. O Jésus ! O Roi tout-puissant Tout petit enfant que vous êtes, O Jésus ! O Roi tout-puissant, Régnez sur nous entièrement !		
J'ai vu des fleuves d'eau vive	J’ai vu des fleuves d’eau vive			1. J’ai vu des fleuves d’eau vive, Alléluia, alléluia. Jaillir du côté du temple, Alléluia, alléluia.	2. J’ai vu la source du temple, Alléluia, alléluia. Grandir en un fleuve immense, Alléluia, alléluia.	3. Tous ceux que lave l’eau vive, Alléluia, alléluia. Acclament et chantent ta gloire, Alléluia, alléluia.	4. Ton cœur, Jésus est la source, Alléluia, alléluia. D’où coule l’eau de la grâce, Alléluia, alléluia.		
J'ai vu l'eau vive - Berthier	J'ai vu l'eau vive			1. J’ai vu l’eau vive jaillissant du coeur du Christ, Alléluia ! Alléluia ! Tous ceux que lave cette eau Seront sauvés, et chanteront : Alléluia ! Alléluia ! Alléluia !	2. J’ai vu la source devenir un fleuve immense, Alléluia ! Alléluia ! Les fils de Dieu rassemblés Chantaient leur joie d’être sauvés, Alléluia ! Alléluia ! Alléluia !	3. J’ai vu le temple désormais s’ouvrir à tous, Alléluia ! Alléluia ! Le Christ revient victorieux Montrant la plaie de son côté, Alléluia ! Alléluia ! Alléluia !	4. J’ai vu le Verbe nous donner la paix de Dieu, Alléluia ! Alléluia ! Tous ceux qui croient en son nom Seront sauvés et chanteront : Alléluia ! Alléluia ! Alléluia !		
J'ai vu l'eau vive (Michel Wackenheim)	J'ai vu l'eau vive (Michel Wackenheim)	1. J'ai vu l'eau vive Jaillissant du coeur du Christ, Alléluia, Tous ceux que lave cette eau Seront sauvés, ils chanteront R/	R/ ALLELUIA, ALLELUIA, ALLELUIA. ALLELUIA, ALLELUIA, ALLELUIA.		2. J'ai vu la source Devenir un fleuve immense, Alléluia, Les fils de Dieu rassemblés Chantaient leur joie d'être sauvés R/	3. J'ai vu le temple Désormais s'ouvrir à tous, Alléluia ! Le Christ revient victorieux Montrant la plaie de son côté, R/	4. J'ai vu le Verbe Nous donner la paix de Dieu, Alléluia, Tous ceux qui croient en son nom Seront sauvés et chanteront : R/		
Je n'ai d'autre désir	Je n'ai d'autre désir			1. Je n'ai d'autre désir Que de t'appartenir Etre à toi pour toujours Et livré à l'amour. Je n'ai d'autre désir Que de t'appartenir.	2. Je n'ai d'autre secours Que renaître à l'amour Et soumettre ma vie, Au souffle de l'esprit. Je n'ai d'autre secours Que renaître à l'amour.	3. Je n'ai d'autre espérance Que m'offrir en silence, Au don de ton amour M'offrir jour après jour. Je n'ai d'autre espérance Que m'offrir en silence.	4. Je n'ai d'autre raison Que l'amour de ton nom Mon bonheur est de vivre Ô Jésus pour te suivre. Je n'ai d'autre raison Que l'amour de ton nom.		noir, 2 croches, noir pointé croche, blanche (2 temps), blanche pointée (3 temps)
Je suis dans la joie	Je suis dans la joie		Je suis dans la joie, une joie immense ! Je suis dans l’allégresse, Car mon Dieu m’a libéré. Je suis dans la joie, une joie immense ! Je suis dans l’allégresse Car mon Dieu m’a libéré.	Je chanterai de tout cœur Les merveilles de Jésus, mon Seigneur. Il m’a ôté des ténèbres, Il m’a délivré de tout péché. (bis)	Car mon Dieu est fidèle, Il ne m’abandonne jamais. Je n’ai plus rien à craindre Car mon Dieu m’a libéré. (bis)				
Je t’exalte, Ô Roi mon Dieu	Je t’exalte, Ô Roi mon Dieu		R/ Je t’exalte, ô Roi mon Dieu Je t’exalte ô Roi mon Dieu, je bénis ton nom à jamais, Je veux te bénir chaque jour, louer ton nom toujours et à jamais !	1- Le Seigneur est tendresse et pitié, Il est lent à la colère et plein d’amour, Le Seigneur est bonté envers tous, ses tendresses vont à toutes ses œuvres ! R/	2- Que tes œuvres, Seigneur, te rendent grâce. Que tes amis bénissent ton nom, Qu’ils disent la gloire de ton règne, qu’ils parlent, ô Dieu, de ta prouesse. R/	3- Le Seigneur est vérité en ses paroles, Il est amour en toutes ses œuvres, Il retient tous ceux qui tombent, Il redresse tous ceux qui sont courbés. R/	4- Je veux dire la louange du Seigneur, que toute chair bénisse son saint nom, Maintenant, toujours et à jamais, Alléluia, Alléluia ! R/		
Je veux chanter ton amour, Seigneur	Je veux chanter ton amour, Seigneur		R/ Je veux chanter ton amour, Seigneur, Chaque instant de ma vie. Danser pour toi en chantant ma joie Et glorifier ton Nom.	1. Ton amour pour nous Est plus fort que tout Et tu veux nous donner la vie, Nous embraser par ton Esprit. Gloire à toi !	2. Oui, tu es mon Dieu, Tu es mon Seigneur. Toi seul es mon libérateur, Le rocher sur qui je m’appuie. Gloire à toi !	3. Car tu es fidèle, Tu es toujours là, Tout près de tous ceux qui te cherchent, Tu réponds à ceux qui t’appellent. Gloire à toi !	4. Voici que tu viens Au milieu de nous, Demeurer au cœur de nos vies Pour nous mener droit vers le Père. Gloire à toi !  5. Avec toi, Seigneur, Je n’ai peur de rien. Tu es là sur tous mes chemins. Tu m’apprends à vivre l’amour. Gloire à toi !		
Je veux te louer	Je veux te louer 		R/ Je veux te louer, ô mon Dieu, À ton Nom, élever les mains. Je veux te bénir, t’adorer, te chanter, Ô mon Dieu, éternel est ton amour !	1. Dans le temple très saint de ta gloire, Ô Seigneur, je te contemplerai. Je verrai ta puissance infinie : Ô mon Dieu, éternel est ton amour !	2. Que te rendre, ô Seigneur, mon Sauveur, Pour le bien que tu as fait pour moi ? En tout temps, en tout lieu, je dirai : Ô mon Dieu, éternel est ton amour !	3. Je tiendrai mes promesses envers toi, Devant tous, j’annoncerai ton nom. Que ma vie toute entière te loue : Ô mon Dieu, éternel est ton amour !			
Je viens vers toi, Jésus	Je viens vers toi, Jésus	1. Comme l’argile se laisse faire Entre les mains agiles du potier, Ainsi mon âme se laisse faire, Ainsi mon cœur te cherche, toi, mon Dieu.	R/ Je viens vers toi, Jésus. Je viens vers toi, Jésus. (bis)		2. Comme une terre qui est aride Ainsi mon cœur désire ton eau vive. Tu es la source qui désaltère, Qui croit en toi n’aura plus jamais soif.	3. Comme un veilleur attend l’aurore Ainsi mon âme espère en ta parole. Car ta parole est une lampe, Une lumière allumée sur mes pas.			
Je voudrais marcher	Je voudrais marcher		R/ Je voudrais marcher aux côtés de mon Seigneur, Sur le chemin, qui mène à Dieu. Rien ne pourra m'empêcher, j'irai jusqu'au bout.	1. C'est le chemin de la joie, C'est le chemin du Seigneur, Ne voudrais-tu pas y marcher toi aussi ?	2. C'est le chemin de la paix... C'est le chemin du Seigneur, Ne voudrais-tu pas y marcher toi aussi ?	3. C'est le chemin de l'amour... C'est le chemin du Seigneur, Ne voudrais-tu pas y marcher toi aussi ?	4. C'est le chemin de la vie... C'est le chemin du Seigneur, Ne voudrais-tu pas y marcher toi aussi ?		
Je vous salue Marie Angelus	Je vous salue Marie			Je vous salue, Marie, comblée de grâce. Le Seigneur est avec vous. Vous êtes bénie entre toutes les femmes, Et Jésus, votre enfant, est béni. Sainte Marie, Mère de Dieu, Priez pour nous, pauvres pécheurs, Maintenant et à l’heure de notre mort. Amen Amen Alléluia					
Jésus-Christ l'Emmanuel	Jésus-Christ, l’Emmanuel		R/ Jésus-Christ l’Emmanuel Dieu lumière de Noël Jésus-Christ l’Emmanuel Gloire à Dieu et paix sur terre.	1. Toi, le Fils du Dieu vivant Tu t’es fait petit enfant Jésus-Christ l’Emmanuel Dieu lumière de Noël.	2. Venez adorons-le le christ est né pour nous Venez adorons-le il est né parmi nous. Vainqueur de nos ténèbres tu viens sauver ton peuple Dieu de paix parmi les hommes tu te fais notre espérance Venez adorons-le le christ est né pour nous.	3. Comme les anges et les bergers Nous venons nous prosterner Jésus-Christ l’Emmanuel Dieu lumière de Noël.			
Jésus, berger de toute humanité	Jésus, berger de toute humanité	1. Jésus, Berger de toute humanité, Tu es venu chercher ceux qui étaient perdus.	R/ Prends pitié de nous, fais-nous revenir, Fais-nous revenir à toi ! Prends pitié de nous !		2. Jésus, Berger de toute humanité, Tu es venu guérir ceux qui étaient malades.	3. Jésus, Berger de toute humanité, Tu es venu sauver ceux qui étaient pécheurs.			
Jésus, me voici devant toi	Jésus, me voici devant Toi		R.Jésus me voici devant toi tout simplement dans le silence. Rien n’est plus important pour moi que d’habiter en ta présence.	1- Avec des larmes dans les yeux ou plein de joie sur le visage Des projets fous ou dangereux le cœur qui recherche un rivage.	2- Avec l’orage ou le ciel bleu avec ce monde et ses naufrages Ceux qui te prient ou bien tous ceux qui restent sourds à ton message.	3- Quand viendra-t-il ton jour, mon Dieu, où j’apercevrai ton visage Tu seras là, c’est merveilleux les bras ouverts sur mon passage.			
